epoch,acc,loss,lr,val_acc,val_loss
0,0.84921875,2.4263447297,0.01,0.0,15.7281719208
1,0.99703125,0.0324923068262,0.01,1.0,0.000151436055239
2,0.9994375,0.0086187163266,0.01,0.0,15.6471967697
3,0.99565625,0.0415120792325,0.01,0.0,10.1825181961
4,1.0,0.000150345588105,0.01,0.70625,4.12831670206
5,0.99153125,0.0545007905508,0.01,1.0,9.05312999748e-06
6,0.9953125,0.0338689282124,0.01,0.0,15.6267467499
7,0.99625,0.0406779140273,0.01,1.0,4.95037808832e-05
8,0.99321875,0.0330581643971,0.01,0.0,13.8616574287
9,0.9955625,0.0508443585773,0.01,1.0,1.4116137902e-05
10,0.9840625,0.103454717159,0.01,1.0,0.345000070333
11,0.99996875,0.102157253064,0.01,1.0,2.30098594329e-05
12,0.96628125,0.223309159029,0.01,1.0,0.0562079630792
13,0.9819375,0.0910765933712,0.01,1.0,0.000146494124783
14,0.9994375,0.0269345749244,0.01,0.0,3.90138754845
15,0.98803125,0.0540830154841,0.01,1.0,0.000301468539847
16,0.99140625,0.151749824304,0.01,0.80625,0.875298648886
17,0.92334375,0.316003731918,0.001,0.9984375,0.0256413672119
18,0.99984375,0.0176081277616,0.001,1.0,0.0152737960219
19,0.97475,0.0993850947802,0.001,1.0,0.0186159778386
20,0.9785625,0.0801974727885,0.001,0.0,6.05053710938
21,0.9954375,0.0369067292986,0.001,1.0,0.0150239272974
22,0.9758125,0.085208922825,0.001,0.0046875,4.32459654808
23,0.99584375,0.0360272590891,0.001,1.0,0.0139068659395
24,0.9715625,0.10596476483,0.001,1.0,0.021031482704
25,0.9805625,0.0773512215223,0.001,0.64375,0.69798886627
26,0.99090625,0.0433888929449,0.001,0.0015625,3.73208107948
27,0.8399375,0.42785090353,0.0001,0.984375,0.123789129406
28,0.95471875,0.148961709883,0.0001,0.078125,2.33906029463
29,0.8794375,0.288454314262,0.0001,0.8671875,0.350638434291
30,0.98665625,0.0823059050478,0.0001,0.9984375,0.0356320315972
31,0.87471875,0.312538570942,0.0001,0.9796875,0.101048474014
32,0.93465625,0.184103755452,0.0001,0.9171875,0.245982256532
33,0.93890625,0.177570374889,0.0001,0.990625,0.0580713577569
34,0.9175,0.213932697978,0.0001,0.046875,2.48173921108
35,0.9580625,0.137958126155,0.0001,1.0,0.0440438028425
36,0.88565625,0.280630628558,0.0001,0.940625,0.196432608366
37,0.9675625,0.141967632443,1e-05,0.921875,0.200655639172
38,0.72315625,0.60247121112,1e-05,0.5921875,0.810766559839
39,0.88128125,0.304256387323,1e-05,0.4578125,1.10969019532
40,0.804125,0.441722020626,1e-05,0.48125,1.01726156473
41,0.79759375,0.451678776011,1e-05,0.825,0.412264057994
42,0.89175,0.287307174489,1e-05,0.95,0.175915980339
43,0.76334375,0.509680285543,1e-05,0.85625,0.356139370799
44,0.92978125,0.220343955636,1e-05,0.9546875,0.164576917887
45,0.74821875,0.537133575156,1e-05,0.9203125,0.24431156069
46,0.85709375,0.348550073713,1e-05,0.9203125,0.241197736561
47,0.82525,0.409600506395,1e-06,0.9265625,0.241011159122
48,0.76446875,0.509823597163,1e-06,0.9078125,0.251307986677
49,0.9129375,0.254993676126,1e-06,0.7078125,0.616136699915
50,0.76296875,0.514009159148,1e-06,0.625,0.740824198723
51,0.90503125,0.266694895267,1e-06,0.5703125,0.858679544926
52,0.7725625,0.49811944887,1e-06,0.659375,0.658475752175
53,0.82475,0.407936343908,1e-06,0.90625,0.26206368506
54,0.8540625,0.357002443254,1e-06,0.909375,0.258275659382
55,0.76375,0.511616592675,1e-06,0.8796875,0.298600919545
56,0.9146875,0.25094107303,1e-06,0.925,0.233077588677
57,0.7606875,0.520528485119,1e-07,0.9140625,0.241416057944
58,0.89146875,0.288299039334,1e-07,0.91875,0.240948407352
59,0.78840625,0.473380250007,1e-07,0.9078125,0.254535835981
60,0.7995625,0.449742907465,1e-07,0.9203125,0.226321661472
61,0.88034375,0.312325436026,1e-07,0.6515625,0.702907413244
