('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075247.088_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075257.162_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075340.882_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075346.879_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075352.990_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075355.624_face.jpg', u'male', u'George')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075409.576_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075413.360_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075417.791_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075424.345_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075430.851_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075437.204_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075526.007_face.jpg', u'male', u'George')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075532.112_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075736.819_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075738.364_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075849.148_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075905.040_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075917.877_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075918.992_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075952.634_face.jpg', u'male', u'George')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075954.058_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075957.392_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075958.900_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080005.733_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080007.222_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080012.635_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080039.263_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080040.280_face.jpg', u'male', u'Enrique')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080041.791_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080057.037_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080102.088_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080111.998_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080115.430_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080122.195_face.jpg', u'male', u'Briana')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080131.881_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080139.256_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080143.026_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080145.275_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080145.896_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080147.562_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080150.993_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080153.434_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080154.155_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080155.583_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080157.996_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080158.822_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080205.096_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080205.745_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080209.167_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080211.124_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080215.789_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080217.554_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080222.450_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080224.214_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080231.892_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080244.850_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080246.387_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080256.990_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_080257.726_face.jpg', u'male', u'Unknown')
